BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI,randomness_label,randomness_label_num
0.0,0,44,1,0.86856,0.6816,3,0.87187,0.86667,0.82471,10879,4868.96533,1,0.8643,0.66287,-0.04644,-0.0175,0.65539,0.32043,0.58444,17.38662,1,0.94151,0.70793,0.97213,0.00328,1,1,0.02182,-0.02496,0.66292,0.59018,0.62008,15.68519,1,0.79561,0.65526,0.97213,0.00297,1,1,participant_5,question_3,No-Timer,True,Other,NOT_RANDOM,0
0.0,0,44,1,0.8508,0.67567,0,0.87187,0.86667,1.0249,10879,4868.96533,1,0.86223,0.66305,-0.04789,-0.0171,0.64392,0.31053,0.58423,17.022,1,0.92241,0.72429,0.95161,0.00326,1,1,0.01923,-0.02372,0.64933,0.58097,0.61641,15.49326,1,0.77919,0.62705,0.95161,0.00297,1,1,participant_5,question_3,No-Timer,True,Other,NOT_RANDOM,0
0.0,0,44,1,0.8508,0.67567,0,0.87187,0.86667,1.03174,10879,4868.96533,1,0.86184,0.6634,-0.04982,-0.01759,0.66248,0.30935,0.58398,17.028,1,0.92241,0.72429,0.95161,0.00326,1,1,0.01912,-0.02404,0.66233,0.58024,0.61604,15.41245,1,0.77919,0.62705,0.95161,0.00286,1,1,participant_5,question_3,No-Timer,True,Other,NOT_RANDOM,0
0.0,0,44,1,0.8093,0.63721,0,0.87187,0.86667,1.03809,10879,4868.96533,1,0.86083,0.66291,-0.04982,-0.01759,0.66248,0.30787,0.58336,17.18767,1,0.85992,0.66305,0.95845,0.00333,1,1,0.01912,-0.02404,0.66233,0.57857,0.6151,15.12406,1,0.75867,0.61138,0.95845,0.00294,1,1,participant_5,question_3,No-Timer,True,Other,NOT_RANDOM,0
0.0,0,44,1,0.75363,0.587,0,0.87187,0.86667,1.04492,10879,4868.96533,1,0.85869,0.66139,-0.04982,-0.01759,0.66248,0.30632,0.58254,16.57069,1,0.8047,0.58977,0.96529,0.00345,1,1,0.01912,-0.02404,0.66233,0.57662,0.61364,13.26888,1,0.70255,0.58423,0.96529,0.00288,1,1,participant_5,question_3,No-Timer,True,Answer_Area,NOT_RANDOM,0
0.0,0,44,1,0.75684,0.58395,0,0.87187,0.86667,1.04492,10879,4868.96533,0,0.83,0.65574,-0.05117,-0.01729,0.66451,0.30358,0.58086,17.23779,1,0.80652,0.58742,0.97213,0.0033,1,1,0.01855,-0.02419,0.68344,0.57432,0.61251,14.39688,1,0.70715,0.58048,0.9796,0.0028,1,1,participant_5,question_3,No-Timer,True,Answer_Area,NOT_RANDOM,0
0.0,0,44,1,0.63391,0.50409,0,0.87187,0.86667,1.04492,10879,4868.96533,0,0.73196,0.57991,-0.05117,-0.01729,0.66451,0.30049,0.57904,16.46054,1,0.67387,0.5003,0.9796,0.00329,1,1,0.01855,-0.02419,0.68344,0.57136,0.60994,13.28889,1,0.59395,0.50788,0.98707,0.00267,1,1,participant_5,question_3,No-Timer,True,Answer_Area,NOT_RANDOM,0
0.0,0,44,1,0.60245,0.45984,0,0.87187,0.86667,1.04492,10879,4868.96533,0,0.68879,0.53989,-0.05117,-0.01729,0.66451,0.29792,0.57796,16.17991,1,0.59461,0.4973,0.98707,0.00331,1,1,0.01855,-0.02419,0.68344,0.56923,0.60946,10.39407,1,0.6103,0.42238,0.99454,0.00265,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.60188,0.45975,0,0.87187,0.86667,1.04492,10879,4868.96533,0,0.61275,0.47456,-0.05177,-0.01664,0.6545,0.29595,0.57728,16.67848,1,0.59492,0.49441,0.99454,0.00332,1,1,0.01616,-0.02234,0.64908,0.56598,0.60672,13.83653,1,0.60885,0.4251,0.9879,0.00285,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.47967,0.41045,0,0.87187,0.86667,1.04492,10879,4868.96533,0,0.54621,0.44251,-0.05177,-0.01664,0.6545,0.29279,0.57534,15.85502,1,0.49711,0.41987,0.9879,0.00323,1,1,0.01616,-0.02234,0.64908,0.56298,0.60496,14.54991,1,0.46223,0.40103,0.97379,0.00275,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
