participant_id,n_samples,n_questions
participant_1,156694,15
participant_10,111914,15
participant_11,92512,15
participant_12,78311,15
participant_13,181036,15
participant_14,99038,15
participant_15,117796,15
participant_16,126305,15
participant_17,128704,15
participant_18,141304,15
participant_19,182426,15
participant_2,137798,15
participant_20,161652,15
participant_21,124508,15
participant_22,118236,15
participant_23,186286,15
participant_24,83998,15
participant_25,111286,15
participant_26,66069,15
participant_27,86758,15
participant_28,139929,15
participant_29,47267,15
participant_3,118805,15
participant_30,95533,15
participant_4,93804,15
participant_5,117728,15
participant_6,125403,15
participant_7,114499,15
participant_8,123671,15
participant_9,94875,15
