participant_id,question_id,n_samples
participant_1,question_1,25874
participant_1,question_10,12610
participant_1,question_11,5519
participant_1,question_12,12540
participant_1,question_13,6167
participant_1,question_14,12222
participant_1,question_15,6620
participant_1,question_2,7269
participant_1,question_3,10952
participant_1,question_4,4751
participant_1,question_5,11803
participant_1,question_6,12801
participant_1,question_7,9151
participant_1,question_8,5883
participant_1,question_9,12532
participant_10,question_1,5059
participant_10,question_10,8054
participant_10,question_11,5579
participant_10,question_12,6250
participant_10,question_13,2579
participant_10,question_14,4414
participant_10,question_15,6058
participant_10,question_2,3413
participant_10,question_3,19718
participant_10,question_4,15019
participant_10,question_5,3470
participant_10,question_6,7359
participant_10,question_7,12180
participant_10,question_8,7798
participant_10,question_9,4964
participant_11,question_1,3759
participant_11,question_10,3616
participant_11,question_11,9566
participant_11,question_12,12364
participant_11,question_13,6278
participant_11,question_14,4056
participant_11,question_15,11303
participant_11,question_2,8621
participant_11,question_3,3472
participant_11,question_4,3889
participant_11,question_5,3475
participant_11,question_6,5963
participant_11,question_7,5844
participant_11,question_8,4417
participant_11,question_9,5889
participant_12,question_1,8682
participant_12,question_10,2793
participant_12,question_11,3667
participant_12,question_12,3934
participant_12,question_13,1454
participant_12,question_14,10781
participant_12,question_15,2685
participant_12,question_2,3386
participant_12,question_3,6243
participant_12,question_4,6568
participant_12,question_5,2541
participant_12,question_6,11771
participant_12,question_7,1808
participant_12,question_8,10128
participant_12,question_9,1870
participant_13,question_1,18029
participant_13,question_10,7594
participant_13,question_11,12901
participant_13,question_12,8956
participant_13,question_13,12290
participant_13,question_14,8831
participant_13,question_15,12155
participant_13,question_2,13207
participant_13,question_3,23400
participant_13,question_4,6928
participant_13,question_5,15342
participant_13,question_6,12660
participant_13,question_7,11257
participant_13,question_8,12746
participant_13,question_9,4740
participant_14,question_1,3200
participant_14,question_10,7605
participant_14,question_11,6820
participant_14,question_12,6252
participant_14,question_13,4047
participant_14,question_14,10403
participant_14,question_15,5152
participant_14,question_2,6205
participant_14,question_3,4712
participant_14,question_4,5586
participant_14,question_5,7270
participant_14,question_6,11257
participant_14,question_7,3511
participant_14,question_8,12257
participant_14,question_9,4761
participant_15,question_1,7295
participant_15,question_10,8292
participant_15,question_11,12008
participant_15,question_12,3597
participant_15,question_13,10089
participant_15,question_14,3884
participant_15,question_15,3646
participant_15,question_2,4764
participant_15,question_3,10983
participant_15,question_4,8647
participant_15,question_5,1808
participant_15,question_6,7938
participant_15,question_7,11228
participant_15,question_8,10901
participant_15,question_9,12716
participant_16,question_1,8585
participant_16,question_10,10577
participant_16,question_11,7796
participant_16,question_12,10190
participant_16,question_13,10353
participant_16,question_14,5438
participant_16,question_15,11931
participant_16,question_2,5897
participant_16,question_3,9129
participant_16,question_4,8631
participant_16,question_5,7586
participant_16,question_6,5500
participant_16,question_7,10388
participant_16,question_8,9211
participant_16,question_9,5093
participant_17,question_1,15280
participant_17,question_10,10594
participant_17,question_11,11215
participant_17,question_12,7016
participant_17,question_13,730
participant_17,question_14,8620
participant_17,question_15,7380
participant_17,question_2,9618
participant_17,question_3,9202
participant_17,question_4,11530
participant_17,question_5,4184
participant_17,question_6,10444
participant_17,question_7,8222
participant_17,question_8,5855
participant_17,question_9,8814
participant_18,question_1,6231
participant_18,question_10,9042
participant_18,question_11,12299
participant_18,question_12,12851
participant_18,question_13,5400
participant_18,question_14,5275
participant_18,question_15,3187
participant_18,question_2,13295
participant_18,question_3,5367
participant_18,question_4,10720
participant_18,question_5,11547
participant_18,question_6,12679
participant_18,question_7,12297
participant_18,question_8,12370
participant_18,question_9,8744
participant_19,question_1,12305
participant_19,question_10,10763
participant_19,question_11,13346
participant_19,question_12,13135
participant_19,question_13,6758
participant_19,question_14,4294
participant_19,question_15,11979
participant_19,question_2,12066
participant_19,question_3,6840
participant_19,question_4,3544
participant_19,question_5,54849
participant_19,question_6,11119
participant_19,question_7,10026
participant_19,question_8,4108
participant_19,question_9,7294
participant_2,question_1,7135
participant_2,question_10,10203
participant_2,question_11,10001
participant_2,question_12,3422
participant_2,question_13,13476
participant_2,question_14,5398
participant_2,question_15,12932
participant_2,question_2,6994
participant_2,question_3,9594
participant_2,question_4,5091
participant_2,question_5,8143
participant_2,question_6,10556
participant_2,question_7,13427
participant_2,question_8,8289
participant_2,question_9,13137
participant_20,question_1,33921
participant_20,question_10,12625
participant_20,question_11,13483
participant_20,question_12,5577
participant_20,question_13,6825
participant_20,question_14,8464
participant_20,question_15,2757
participant_20,question_2,6257
participant_20,question_3,10196
participant_20,question_4,10303
participant_20,question_5,7438
participant_20,question_6,12124
participant_20,question_7,7431
participant_20,question_8,12328
participant_20,question_9,11923
participant_21,question_1,15135
participant_21,question_10,12560
participant_21,question_11,11779
participant_21,question_12,12549
participant_21,question_13,3740
participant_21,question_14,2329
participant_21,question_15,4702
participant_21,question_2,5543
participant_21,question_3,9404
participant_21,question_4,11591
participant_21,question_5,3566
participant_21,question_6,11600
participant_21,question_7,4559
participant_21,question_8,8714
participant_21,question_9,6737
participant_22,question_1,11521
participant_22,question_10,10041
participant_22,question_11,2751
participant_22,question_12,4480
participant_22,question_13,4710
participant_22,question_14,9611
participant_22,question_15,3258
participant_22,question_2,19570
participant_22,question_3,9489
participant_22,question_4,8645
participant_22,question_5,7567
participant_22,question_6,9881
participant_22,question_7,5819
participant_22,question_8,3552
participant_22,question_9,7341
participant_23,question_1,25494
participant_23,question_10,8789
participant_23,question_11,10138
participant_23,question_12,12911
participant_23,question_13,13253
participant_23,question_14,6013
participant_23,question_15,5384
participant_23,question_2,10503
participant_23,question_3,26340
participant_23,question_4,6558
participant_23,question_5,11265
participant_23,question_6,12886
participant_23,question_7,11997
participant_23,question_8,11995
participant_23,question_9,12760
participant_24,question_1,4353
participant_24,question_10,10473
participant_24,question_11,3911
participant_24,question_12,5459
participant_24,question_13,3441
participant_24,question_14,4603
participant_24,question_15,5371
participant_24,question_2,7619
participant_24,question_3,5704
participant_24,question_4,4552
participant_24,question_5,4527
participant_24,question_6,9291
participant_24,question_7,4804
participant_24,question_8,7441
participant_24,question_9,2449
participant_25,question_1,6826
participant_25,question_10,8193
participant_25,question_11,8166
participant_25,question_12,5557
participant_25,question_13,8467
participant_25,question_14,7807
participant_25,question_15,4429
participant_25,question_2,3441
participant_25,question_3,9304
participant_25,question_4,7153
participant_25,question_5,6897
participant_25,question_6,9314
participant_25,question_7,6521
participant_25,question_8,7027
participant_25,question_9,12184
participant_26,question_1,3175
participant_26,question_10,1253
participant_26,question_11,9334
participant_26,question_12,3217
participant_26,question_13,10581
participant_26,question_14,8804
participant_26,question_15,2392
participant_26,question_2,4564
participant_26,question_3,3874
participant_26,question_4,1351
participant_26,question_5,1662
participant_26,question_6,6009
participant_26,question_7,2333
participant_26,question_8,6076
participant_26,question_9,1444
participant_27,question_1,3314
participant_27,question_10,4583
participant_27,question_11,6376
participant_27,question_12,8213
participant_27,question_13,12612
participant_27,question_14,8168
participant_27,question_15,5164
participant_27,question_2,3224
participant_27,question_3,7985
participant_27,question_4,6322
participant_27,question_5,4802
participant_27,question_6,1499
participant_27,question_7,5354
participant_27,question_8,7106
participant_27,question_9,2036
participant_28,question_1,8390
participant_28,question_10,12405
participant_28,question_11,10597
participant_28,question_12,5021
participant_28,question_13,12505
participant_28,question_14,12841
participant_28,question_15,5720
participant_28,question_2,6820
participant_28,question_3,14888
participant_28,question_4,2740
participant_28,question_5,14230
participant_28,question_6,12441
participant_28,question_7,4569
participant_28,question_8,7232
participant_28,question_9,9530
participant_29,question_1,8407
participant_29,question_10,2058
participant_29,question_11,1269
participant_29,question_12,2427
participant_29,question_13,1800
participant_29,question_14,2434
participant_29,question_15,3246
participant_29,question_2,4808
participant_29,question_3,6593
participant_29,question_4,6039
participant_29,question_5,1271
participant_29,question_6,1065
participant_29,question_7,1750
participant_29,question_8,2089
participant_29,question_9,2011
participant_3,question_1,5464
participant_3,question_10,3955
participant_3,question_11,6038
participant_3,question_12,5843
participant_3,question_13,7611
participant_3,question_14,8602
participant_3,question_15,10712
participant_3,question_2,5636
participant_3,question_3,5197
participant_3,question_4,8919
participant_3,question_5,17644
participant_3,question_6,10037
participant_3,question_7,10963
participant_3,question_8,8622
participant_3,question_9,3562
participant_30,question_1,7489
participant_30,question_10,10117
participant_30,question_11,2527
participant_30,question_12,7264
participant_30,question_13,3896
participant_30,question_14,3329
participant_30,question_15,12403
participant_30,question_2,3219
participant_30,question_3,1998
participant_30,question_4,8924
participant_30,question_5,5455
participant_30,question_6,5700
participant_30,question_7,8788
participant_30,question_8,8495
participant_30,question_9,5929
participant_4,question_1,4010
participant_4,question_10,12435
participant_4,question_11,4612
participant_4,question_12,2118
participant_4,question_13,1790
participant_4,question_14,9226
participant_4,question_15,10646
participant_4,question_2,4888
participant_4,question_3,3871
participant_4,question_4,3496
participant_4,question_5,7402
participant_4,question_6,3347
participant_4,question_7,12904
participant_4,question_8,5288
participant_4,question_9,7771
participant_5,question_1,10782
participant_5,question_10,3277
participant_5,question_11,2814
participant_5,question_12,10731
participant_5,question_13,9257
participant_5,question_14,6257
participant_5,question_15,3538
participant_5,question_2,12018
participant_5,question_3,22156
participant_5,question_4,6699
participant_5,question_5,1570
participant_5,question_6,6227
participant_5,question_7,9043
participant_5,question_8,4190
participant_5,question_9,9169
participant_6,question_1,8152
participant_6,question_10,8088
participant_6,question_11,4552
participant_6,question_12,10716
participant_6,question_13,12711
participant_6,question_14,2858
participant_6,question_15,12941
participant_6,question_2,13702
participant_6,question_3,8555
participant_6,question_4,6263
participant_6,question_5,4523
participant_6,question_6,5775
participant_6,question_7,4279
participant_6,question_8,12629
participant_6,question_9,9659
participant_7,question_1,7383
participant_7,question_10,6510
participant_7,question_11,7715
participant_7,question_12,10397
participant_7,question_13,12425
participant_7,question_14,6199
participant_7,question_15,6475
participant_7,question_2,5786
participant_7,question_3,6334
participant_7,question_4,6935
participant_7,question_5,8247
participant_7,question_6,8087
participant_7,question_7,6478
participant_7,question_8,4875
participant_7,question_9,10653
participant_8,question_1,5647
participant_8,question_10,7576
participant_8,question_11,8503
participant_8,question_12,8064
participant_8,question_13,6592
participant_8,question_14,11338
participant_8,question_15,11423
participant_8,question_2,10306
participant_8,question_3,7828
participant_8,question_4,8658
participant_8,question_5,8312
participant_8,question_6,8321
participant_8,question_7,6244
participant_8,question_8,7946
participant_8,question_9,6913
participant_9,question_1,9367
participant_9,question_10,5012
participant_9,question_11,2078
participant_9,question_12,4830
participant_9,question_13,12308
participant_9,question_14,2625
participant_9,question_15,4571
participant_9,question_2,6750
participant_9,question_3,10850
participant_9,question_4,4029
participant_9,question_5,4503
participant_9,question_6,6289
participant_9,question_7,2864
participant_9,question_8,6349
participant_9,question_9,12450
