Participant,Question,Total_Samples,Answer_Area_%,Question_%,Off_Screen_%,Longest_Sequence,Best_Window_%,Failure_Category
11,10,3616,5.6,3.8,84.4,67,76.7,Off-Screen (>50%)
12,10,2793,10.1,29.2,40.6,99,66.0,Rapid Switching
12,15,2685,6.0,32.6,41.1,72,48.0,Short Sequences (<75 samples)
12,4,6568,7.2,28.1,51.3,101,73.3,Off-Screen (>50%)
12,9,1870,6.2,14.7,61.6,115,76.7,Off-Screen (>50%)
13,1,18029,4.9,0.4,92.7,107,82.0,Off-Screen (>50%)
13,5,15342,6.5,2.7,86.9,120,80.0,Off-Screen (>50%)
16,1,8585,7.7,75.4,15.6,45,52.7,Stayed in Question
16,12,10190,20.2,59.7,13.1,98,81.3,Rapid Switching
16,13,10353,26.7,43.6,21.7,79,81.3,Rapid Switching
16,14,5438,18.3,44.6,33.0,46,63.3,Short Sequences (<75 samples)
16,2,5897,3.3,28.0,66.5,51,54.0,Off-Screen (>50%)
16,6,5500,19.3,48.8,19.3,69,83.3,Short Sequences (<75 samples)
16,9,5093,7.1,66.0,23.5,23,36.0,Stayed in Question
2,14,5398,3.2,7.7,86.3,99,78.7,Off-Screen (>50%)
2,3,9594,5.4,15.5,74.0,110,73.3,Off-Screen (>50%)
2,7,13427,1.5,11.2,83.7,61,41.3,Off-Screen (>50%)
2,8,8289,1.3,11.9,84.5,26,28.0,Off-Screen (>50%)
21,14,2329,11.0,2.9,68.9,108,72.7,Off-Screen (>50%)
26,4,1351,15.4,6.2,72.4,80,66.0,Off-Screen (>50%)
26,5,1662,12.9,25.3,43.6,85,56.7,Rapid Switching
27,10,4583,2.8,67.2,9.8,108,72.0,Stayed in Question
27,2,3224,4.2,48.5,21.0,93,62.0,Stayed in Question
29,13,1800,7.3,8.8,70.3,110,73.3,Off-Screen (>50%)
29,15,3246,6.5,62.4,21.3,117,78.0,Stayed in Question
3,12,5843,4.4,84.3,0.1,50,59.3,Stayed in Question
3,4,8919,3.3,94.3,0.0,59,69.3,Stayed in Question
4,1,4010,0.4,2.0,96.7,18,12.0,Off-Screen (>50%)
4,10,12435,1.2,2.3,89.5,34,26.7,Off-Screen (>50%)
4,11,4612,0.4,0.7,94.6,15,10.0,Off-Screen (>50%)
4,12,2118,1.9,3.2,88.8,14,26.7,Off-Screen (>50%)
4,13,1790,1.2,0.3,96.0,21,14.0,Off-Screen (>50%)
4,14,9226,2.2,1.5,83.5,54,36.0,Off-Screen (>50%)
4,15,10646,0.9,1.7,64.7,38,26.7,Off-Screen (>50%)
4,2,4888,2.3,3.2,89.1,58,40.7,Off-Screen (>50%)
4,3,3871,1.7,3.5,88.8,23,34.0,Off-Screen (>50%)
4,4,3496,0.2,0.9,94.5,4,5.3,Off-Screen (>50%)
4,5,7402,2.1,4.2,87.1,61,53.3,Off-Screen (>50%)
4,6,3347,0.1,0.4,97.8,3,2.0,Off-Screen (>50%)
4,7,12904,2.1,5.1,88.5,80,54.0,Off-Screen (>50%)
4,8,5288,1.5,2.9,90.8,39,26.0,Off-Screen (>50%)
4,9,7771,0.9,0.9,89.8,30,24.7,Off-Screen (>50%)
8,5,8312,10.6,57.9,15.8,116,77.3,Stayed in Question
8,9,6913,4.7,72.1,10.9,114,76.0,Stayed in Question
