participant_id,question_id,ta,part
participant_1,question_1,0.0991503900000007,Timer-Correct
participant_1,question_10,0.014221679999999652,Timer-No-Correct
participant_1,question_11,0.02862891000000036,Timer-Correct
participant_1,question_12,0.022239749999999732,Timer-No-Correct
participant_1,question_13,0.03771288999999979,No-Timer
participant_1,question_14,0.044993649999999434,No-Timer
participant_1,question_15,0.018333980000000336,Timer-Correct
participant_1,question_2,0.03651953000000049,Timer-No-Correct
participant_1,question_3,0.01912988999999925,No-Timer
participant_1,question_4,0.017020510000000287,Timer-Correct
participant_1,question_5,0.015606439999999566,No-Timer
participant_1,question_6,0.07175342000000001,Timer-No-Correct
participant_1,question_7,0.011453129999999874,Timer-No-Correct
participant_1,question_8,0.03696875,Timer-Correct
participant_1,question_9,0.04350586000000021,No-Timer
participant_10,question_1,0.00634442,No-Timer
participant_10,question_10,0.028507319999999937,Timer-Correct
participant_10,question_11,0.023391360000000076,No-Timer
participant_10,question_12,0.015975459999999997,No-Timer
participant_10,question_13,0.014776669999999967,Timer-Correct
participant_10,question_14,0.010422670000000038,Timer-No-Correct
participant_10,question_15,0.011306649999999991,No-Timer
participant_10,question_2,0.003455470000000005,Timer-Correct
participant_10,question_3,0.0939117,Timer-Correct
participant_10,question_4,0.07158642999999998,No-Timer
participant_10,question_5,0.021062290000000018,Timer-No-Correct
participant_10,question_6,0.027416539999999996,Timer-No-Correct
participant_10,question_7,0.02381268,Timer-No-Correct
participant_10,question_8,0.01813873000000001,Timer-No-Correct
participant_10,question_9,0.018321590000000016,Timer-Correct
participant_11,question_1,0.02030944999999997,Timer-No-Correct
participant_11,question_10,,No-Timer
participant_11,question_11,0.010153680000000121,Timer-No-Correct
participant_11,question_12,0.023276730000000044,Timer-Correct
participant_11,question_13,0.03669958999999994,Timer-No-Correct
participant_11,question_14,0.014923710000000028,No-Timer
participant_11,question_15,0.06068091000000004,Timer-Correct
participant_11,question_2,0.03390125000000012,Timer-No-Correct
participant_11,question_3,0.014521850000000086,No-Timer
participant_11,question_4,0.02501807000000008,Timer-Correct
participant_11,question_5,0.014495599999999968,No-Timer
participant_11,question_6,0.03334192000000007,Timer-Correct
participant_11,question_7,0.03139501999999993,Timer-Correct
participant_11,question_8,0.014936159999999973,Timer-No-Correct
participant_11,question_9,0.01809229000000005,No-Timer
participant_12,question_1,0.05244241000000001,No-Timer
participant_12,question_10,,Timer-No-Correct
participant_12,question_11,0.009893219999999986,Timer-No-Correct
participant_12,question_12,0.009632409999999992,No-Timer
participant_12,question_13,0.003349519999999984,Timer-No-Correct
participant_12,question_14,0.014275199999999984,Timer-Correct
participant_12,question_15,,Timer-Correct
participant_12,question_2,0.01859492,Timer-No-Correct
participant_12,question_3,0.011850180000000009,Timer-Correct
participant_12,question_4,,Timer-Correct
participant_12,question_5,0.0031617900000000245,Timer-No-Correct
participant_12,question_6,0.01811292999999998,No-Timer
participant_12,question_7,0.009237799999999992,No-Timer
participant_12,question_8,0.008639259999999978,Timer-Correct
participant_12,question_9,,No-Timer
participant_13,question_1,,Timer-Correct
participant_13,question_10,0.047907159999999976,Timer-No-Correct
participant_13,question_11,0.08424578999999995,No-Timer
participant_13,question_12,0.04784667999999988,Timer-No-Correct
participant_13,question_13,0.07690296000000012,Timer-No-Correct
participant_13,question_14,0.057137200000000124,No-Timer
participant_13,question_15,0.036264289999999845,Timer-Correct
participant_13,question_2,0.06903428999999997,No-Timer
participant_13,question_3,0.11848795000000001,Timer-No-Correct
participant_13,question_4,0.03948102,Timer-No-Correct
participant_13,question_5,,Timer-Correct
participant_13,question_6,0.038529539999999994,No-Timer
participant_13,question_7,0.016424740000000042,Timer-Correct
participant_13,question_8,0.04453783999999996,No-Timer
participant_13,question_9,0.020263119999999957,Timer-Correct
participant_14,question_1,0.007481940000000123,No-Timer
participant_14,question_10,0.036200199999999766,No-Timer
participant_14,question_11,0.0289370100000001,No-Timer
participant_14,question_12,0.037604980000000066,Timer-No-Correct
participant_14,question_13,0.02481714000000011,Timer-Correct
participant_14,question_14,0.013088870000000042,No-Timer
participant_14,question_15,0.007080320000000029,Timer-Correct
participant_14,question_2,0.0071408700000001775,Timer-Correct
participant_14,question_3,0.007065920000000006,Timer-No-Correct
participant_14,question_4,0.02152979000000005,No-Timer
participant_14,question_5,0.030639160000000176,Timer-No-Correct
participant_14,question_6,0.03610327000000007,Timer-No-Correct
participant_14,question_7,0.02034349999999995,Timer-Correct
participant_14,question_8,0.01896361999999999,Timer-No-Correct
participant_14,question_9,0.01334349999999995,Timer-Correct
participant_15,question_1,0.0031679400000000015,Timer-No-Correct
participant_15,question_10,0.0,Timer-Correct
participant_15,question_11,0.001205500000000029,No-Timer
participant_15,question_12,0.0,Timer-Correct
participant_15,question_13,0.0005751999999999952,No-Timer
participant_15,question_14,0.000649599999999964,No-Timer
participant_15,question_15,0.0004149800000000141,Timer-Correct
participant_15,question_2,0.0,Timer-No-Correct
participant_15,question_3,0.0,Timer-Correct
participant_15,question_4,0.0,Timer-Correct
participant_15,question_5,0.0,No-Timer
participant_15,question_6,0.0019017599999999674,No-Timer
participant_15,question_7,0.0009307599999999639,Timer-No-Correct
participant_15,question_8,0.0,Timer-No-Correct
participant_15,question_9,0.0,Timer-No-Correct
participant_16,question_1,,No-Timer
participant_16,question_10,0.03377392999999938,Timer-No-Correct
participant_16,question_11,0.022171870000000125,Timer-Correct
participant_16,question_12,,Timer-Correct
participant_16,question_13,,Timer-Correct
participant_16,question_14,,Timer-Correct
participant_16,question_15,0.05898729999999978,No-Timer
participant_16,question_2,,Timer-No-Correct
participant_16,question_3,0.01190331999999944,No-Timer
participant_16,question_4,0.0157485400000005,Timer-Correct
participant_16,question_5,0.020630860000000213,Timer-No-Correct
participant_16,question_6,,Timer-No-Correct
participant_16,question_7,0.03909863000000041,No-Timer
participant_16,question_8,0.048992190000000845,No-Timer
participant_16,question_9,,Timer-No-Correct
participant_17,question_1,0.034808219999999994,Timer-No-Correct
participant_17,question_10,0.04822191999999995,Timer-No-Correct
participant_17,question_11,0.05231415000000004,No-Timer
participant_17,question_12,0.04092754999999999,Timer-No-Correct
participant_17,question_13,0.0034112499999999954,Timer-Correct
participant_17,question_14,0.02406830000000002,No-Timer
participant_17,question_15,0.008326659999999948,Timer-Correct
participant_17,question_2,0.03653294,Timer-No-Correct
participant_17,question_3,0.024147490000000004,Timer-Correct
participant_17,question_4,0.02654636000000005,Timer-Correct
participant_17,question_5,0.025956940000000032,No-Timer
participant_17,question_6,0.04808046999999999,No-Timer
participant_17,question_7,0.01310223000000002,Timer-No-Correct
participant_17,question_8,0.005732239999999934,Timer-Correct
participant_17,question_9,0.01118620999999996,No-Timer
participant_18,question_1,0.003416680000000042,Timer-No-Correct
participant_18,question_10,0.004883180000000038,Timer-Correct
participant_18,question_11,0.05019988999999998,Timer-No-Correct
participant_18,question_12,0.03419677999999999,No-Timer
participant_18,question_13,0.024019659999999932,Timer-No-Correct
participant_18,question_14,0.014515259999999898,Timer-No-Correct
participant_18,question_15,0.018548829999999954,No-Timer
participant_18,question_2,0.04905265000000003,No-Timer
participant_18,question_3,0.033312100000000046,Timer-Correct
participant_18,question_4,0.03382660000000004,Timer-Correct
participant_18,question_5,0.025199680000000002,Timer-Correct
participant_18,question_6,0.07606006000000003,No-Timer
participant_18,question_7,0.04165002000000004,Timer-No-Correct
participant_18,question_8,0.032092160000000036,Timer-Correct
participant_18,question_9,0.03185320999999999,No-Timer
participant_2,question_1,0.032989580000000004,No-Timer
participant_2,question_10,0.05008411000000001,No-Timer
participant_2,question_13,0.05662183000000005,Timer-No-Correct
participant_2,question_14,,No-Timer
participant_2,question_15,0.04306384000000003,No-Timer
participant_2,question_2,0.04181238,Timer-Correct
participant_2,question_3,,No-Timer
participant_2,question_4,0.00872065999999998,Timer-Correct
participant_2,question_5,0.01629016999999999,Timer-No-Correct
participant_2,question_6,0.07776187999999996,Timer-No-Correct
participant_2,question_7,,Timer-No-Correct
participant_2,question_8,,Timer-No-Correct
participant_2,question_9,0.030324160000000006,Timer-Correct
participant_20,question_1,0.08042711999999995,Timer-Correct
participant_20,question_10,0.08090417000000003,Timer-Correct
participant_20,question_11,0.01649133000000006,No-Timer
participant_20,question_12,0.0007825900000000274,No-Timer
participant_20,question_13,0.01064391999999998,Timer-Correct
participant_20,question_14,0.03591698999999994,No-Timer
participant_20,question_15,0.01681273999999985,Timer-Correct
participant_20,question_2,0.011252809999999953,Timer-No-Correct
participant_20,question_3,0.04531426999999996,No-Timer
participant_20,question_4,0.06764122999999996,No-Timer
participant_20,question_5,0.022432990000000017,Timer-Correct
participant_20,question_6,0.030022950000000038,Timer-No-Correct
participant_20,question_7,0.018675290000000132,Timer-No-Correct
participant_20,question_8,0.023438109999999825,Timer-No-Correct
participant_20,question_9,0.026847409999999853,Timer-No-Correct
participant_21,question_1,0.031503169999999955,Timer-Correct
participant_21,question_10,0.03172315000000026,No-Timer
participant_21,question_11,0.02116699000000017,Timer-No-Correct
participant_21,question_12,0.051330320000000026,No-Timer
participant_21,question_13,0.011434319999999843,Timer-No-Correct
participant_21,question_14,,Timer-Correct
participant_21,question_15,0.02102684999999974,Timer-No-Correct
participant_21,question_2,0.004869630000000143,Timer-Correct
participant_21,question_3,0.023692140000000108,No-Timer
participant_21,question_4,0.07508179000000018,No-Timer
participant_21,question_5,0.012920900000000074,Timer-No-Correct
participant_21,question_6,0.07072925000000033,Timer-Correct
participant_21,question_7,0.018158449999999902,No-Timer
participant_21,question_8,0.028032960000000003,Timer-No-Correct
participant_21,question_9,0.040739750000000186,Timer-Correct
participant_22,question_1,0.03330028,No-Timer
participant_22,question_10,0.03227606000000003,No-Timer
participant_22,question_11,0.010999810000000025,Timer-Correct
participant_22,question_12,0.01791021999999998,Timer-No-Correct
participant_22,question_13,0.03016369999999995,No-Timer
participant_22,question_14,0.04738465000000008,Timer-Correct
participant_22,question_15,0.02017560000000003,Timer-Correct
participant_22,question_2,0.012967350000000011,Timer-Correct
participant_22,question_3,0.007750010000000003,Timer-No-Correct
participant_22,question_4,0.05537555000000003,No-Timer
participant_22,question_5,0.029714510000000017,Timer-Correct
participant_22,question_6,0.04658760999999998,Timer-No-Correct
participant_22,question_7,0.02826071000000002,No-Timer
participant_22,question_8,0.02142804000000001,Timer-No-Correct
participant_22,question_9,0.023665340000000014,Timer-No-Correct
participant_23,question_1,0.06923437000000013,Timer-Correct
participant_23,question_10,0.05703699000000006,Timer-Correct
participant_23,question_11,0.03506592000000001,No-Timer
participant_23,question_12,0.05970287999999982,No-Timer
participant_23,question_13,0.05269654000000037,Timer-No-Correct
participant_23,question_14,0.01147485000000006,Timer-Correct
participant_23,question_15,0.0346577199999997,Timer-No-Correct
participant_23,question_2,0.02044347999999991,Timer-Correct
participant_23,question_3,0.07267237,Timer-No-Correct
participant_23,question_4,0.007602419999999938,No-Timer
participant_23,question_5,0.06806225999999993,Timer-No-Correct
participant_23,question_6,0.08442003999999997,No-Timer
participant_23,question_7,0.03391381999999999,No-Timer
participant_23,question_8,0.03142871999999988,Timer-No-Correct
participant_23,question_9,0.06588524999999981,Timer-Correct
participant_24,question_1,0.0,Timer-Correct
participant_24,question_10,0.003603759999999966,Timer-No-Correct
participant_24,question_11,0.003227049999999963,No-Timer
participant_24,question_12,0.003015129999999772,No-Timer
participant_24,question_13,0.003978020000000015,No-Timer
participant_24,question_14,0.005853999999999814,Timer-No-Correct
participant_24,question_15,0.0,Timer-No-Correct
participant_24,question_2,0.0040398000000000135,Timer-Correct
participant_24,question_3,0.007055419999999686,No-Timer
participant_24,question_4,0.004763189999999667,Timer-No-Correct
participant_24,question_5,0.0049702099999999515,No-Timer
participant_24,question_6,0.016558350000000246,Timer-Correct
participant_24,question_7,0.006671629999999823,Timer-No-Correct
participant_24,question_8,0.013316170000000056,Timer-Correct
participant_24,question_9,0.009049559999999929,Timer-Correct
participant_25,question_1,0.002518550000000232,No-Timer
participant_25,question_10,0.02176318999999967,Timer-No-Correct
participant_25,question_11,0.029252449999999954,Timer-No-Correct
participant_25,question_12,0.030303949999999986,No-Timer
participant_25,question_13,0.029318359999999755,Timer-No-Correct
participant_25,question_14,0.04338475999999992,Timer-Correct
participant_25,question_15,0.02562109000000055,Timer-Correct
participant_25,question_2,0.019057130000000144,No-Timer
participant_25,question_3,0.05939477000000033,Timer-Correct
participant_25,question_4,0.015212890000000243,Timer-No-Correct
participant_25,question_5,0.035086429999999835,Timer-No-Correct
participant_25,question_6,0.04767872000000034,Timer-Correct
participant_25,question_7,0.031217529999999896,Timer-Correct
participant_25,question_8,0.03237303999999994,No-Timer
participant_25,question_9,0.027688720000000104,No-Timer
participant_26,question_1,0.009900389999999789,Timer-Correct
participant_26,question_10,0.004957029999999577,Timer-No-Correct
participant_26,question_11,0.026130369999999858,Timer-No-Correct
participant_26,question_12,0.007938470000000052,Timer-No-Correct
participant_26,question_13,0.03214551000000029,No-Timer
participant_26,question_14,0.02761768000000029,Timer-Correct
participant_26,question_15,0.013859379999999874,No-Timer
participant_26,question_2,0.019465329999999996,Timer-No-Correct
participant_26,question_3,0.011247070000000348,Timer-Correct
participant_26,question_4,,Timer-Correct
participant_26,question_5,,No-Timer
participant_26,question_6,0.00965918000000056,No-Timer
participant_26,question_7,0.01257764000000043,Timer-No-Correct
participant_26,question_8,0.023572259999999914,No-Timer
participant_26,question_9,0.0026455100000002856,Timer-Correct
participant_27,question_1,0.009825680000000829,No-Timer
participant_27,question_10,,No-Timer
participant_27,question_11,0.022794919999999365,Timer-Correct
participant_27,question_12,0.011041510000000017,Timer-No-Correct
participant_27,question_13,0.07088867000000028,No-Timer
participant_27,question_14,0.014682619999999588,Timer-No-Correct
participant_27,question_15,0.028166989999999715,No-Timer
participant_27,question_2,,Timer-No-Correct
participant_27,question_3,0.044563970000000154,No-Timer
participant_27,question_4,0.0037504900000003543,Timer-Correct
participant_27,question_5,0.011369139999999788,Timer-No-Correct
participant_27,question_6,0.03085303000000022,Timer-No-Correct
participant_27,question_7,0.032614260000000284,Timer-Correct
participant_27,question_8,0.045958010000000285,Timer-Correct
participant_27,question_9,0.009772950000000492,Timer-Correct
participant_28,question_1,0.05439492999999999,Timer-No-Correct
participant_28,question_10,0.03215923999999996,Timer-No-Correct
participant_28,question_11,0.017482549999999947,Timer-Correct
participant_28,question_12,0.029962150000000066,Timer-Correct
participant_28,question_13,0.052535890000000106,Timer-Correct
participant_28,question_14,0.0816271999999999,Timer-Correct
participant_28,question_15,0.0272343800000001,Timer-No-Correct
participant_28,question_2,0.016170069999999953,No-Timer
participant_28,question_3,0.05491311999999993,No-Timer
participant_28,question_4,0.014890810000000101,Timer-Correct
participant_28,question_5,0.08740106000000003,Timer-No-Correct
participant_28,question_6,0.025922489999999927,Timer-No-Correct
participant_28,question_7,0.012814089999999966,No-Timer
participant_28,question_8,0.02737719000000004,No-Timer
participant_28,question_9,0.031487419999999926,No-Timer
participant_29,question_1,0.05221433,Timer-Correct
participant_29,question_10,0.012271730000000048,Timer-Correct
participant_29,question_11,0.006571010000000001,Timer-Correct
participant_29,question_12,0.008439670000000035,Timer-Correct
participant_29,question_13,,No-Timer
participant_29,question_14,0.013785160000000019,Timer-No-Correct
participant_29,question_15,,No-Timer
participant_29,question_2,0.020504169999999988,Timer-Correct
participant_29,question_3,0.04087371999999999,Timer-No-Correct
participant_29,question_4,0.004607900000000001,No-Timer
participant_29,question_5,0.005660340000000019,No-Timer
participant_29,question_6,0.002558809999999994,Timer-No-Correct
participant_29,question_7,0.010462710000000016,Timer-No-Correct
participant_29,question_8,0.00902285999999998,No-Timer
participant_29,question_9,0.010522979999999961,Timer-No-Correct
participant_3,question_1,0.0,Timer-No-Correct
participant_3,question_10,0.025232660000000122,No-Timer
participant_3,question_11,0.015299919999999929,No-Timer
participant_3,question_12,,Timer-No-Correct
participant_3,question_13,0.046821779999999986,Timer-Correct
participant_3,question_14,0.052269780000000085,Timer-Correct
participant_3,question_15,0.06275731999999971,No-Timer
participant_3,question_2,0.010576659999999948,Timer-No-Correct
participant_3,question_3,0.020226069999999936,No-Timer
participant_3,question_4,,Timer-No-Correct
participant_3,question_5,0.046640990000000104,Timer-No-Correct
participant_3,question_6,0.013966059999999971,No-Timer
participant_3,question_7,0.009686159999999973,Timer-Correct
participant_3,question_8,0.048477049999999966,Timer-Correct
participant_3,question_9,0.021777100000000018,Timer-Correct
participant_30,question_1,0.01964634,Timer-Correct
participant_30,question_10,0.021836970000000008,No-Timer
participant_30,question_11,0.00028144000000003186,Timer-Correct
participant_30,question_13,0.01104571999999996,No-Timer
participant_30,question_14,0.007824219999999969,Timer-No-Correct
participant_30,question_15,0.031208189999999945,Timer-No-Correct
participant_30,question_2,0.0057802899999999935,No-Timer
participant_30,question_3,0.006899430000000009,Timer-Correct
participant_30,question_4,0.04291022999999999,No-Timer
participant_30,question_5,0.019726600000000018,Timer-Correct
participant_30,question_6,0.012606269999999996,Timer-Correct
participant_30,question_8,0.017999420000000044,Timer-No-Correct
participant_30,question_9,0.02168955,No-Timer
participant_4,question_1,,No-Timer
participant_4,question_10,,No-Timer
participant_4,question_11,,No-Timer
participant_4,question_12,,Timer-Correct
participant_4,question_13,,Timer-Correct
participant_4,question_14,,Timer-No-Correct
participant_4,question_15,,No-Timer
participant_4,question_2,,Timer-Correct
participant_4,question_3,,Timer-Correct
participant_4,question_4,,Timer-No-Correct
participant_4,question_5,,Timer-Correct
participant_4,question_6,,No-Timer
participant_4,question_7,,Timer-No-Correct
participant_4,question_8,,Timer-No-Correct
participant_4,question_9,,Timer-No-Correct
participant_5,question_1,0.04855663999999979,Timer-No-Correct
participant_5,question_10,0.011795900000000074,Timer-Correct
participant_5,question_11,0.016015629999999875,Timer-No-Correct
participant_5,question_12,0.03447657000000072,Timer-No-Correct
participant_5,question_13,0.04595069000000058,No-Timer
participant_5,question_14,0.018299799999999776,No-Timer
participant_5,question_15,0.021683100000000195,Timer-Correct
participant_5,question_2,0.00939208999999937,Timer-Correct
participant_5,question_3,0.01627099999999973,No-Timer
participant_5,question_4,0.02189013999999952,Timer-Correct
participant_5,question_5,0.009215329999999994,No-Timer
participant_5,question_6,0.0368413100000007,Timer-No-Correct
participant_5,question_7,0.005104000000000269,Timer-Correct
participant_5,question_8,0.02635156999999981,Timer-No-Correct
participant_5,question_9,0.04153760000000056,No-Timer
participant_6,question_1,0.04165428999999949,Timer-No-Correct
participant_6,question_10,0.027503900000000612,Timer-No-Correct
participant_6,question_11,0.025500979999999798,Timer-Correct
participant_6,question_12,0.006423829999999725,Timer-Correct
participant_6,question_13,0.06340088000000015,Timer-Correct
participant_6,question_14,0.018031730000000606,No-Timer
participant_6,question_15,0.06515380000000005,Timer-Correct
participant_6,question_2,0.04414306000000033,No-Timer
participant_6,question_3,0.01786573000000044,Timer-Correct
participant_6,question_4,0.038194820000000615,Timer-No-Correct
participant_6,question_5,0.028006840000000012,Timer-No-Correct
participant_6,question_6,0.03126806000000033,No-Timer
participant_6,question_7,0.02694775000000027,No-Timer
participant_6,question_8,0.03056542999999965,Timer-No-Correct
participant_6,question_9,0.04311131999999998,No-Timer
participant_7,question_1,0.03986945,Timer-Correct
participant_7,question_10,0.040940490000000065,No-Timer
participant_7,question_11,0.03737047999999993,Timer-Correct
participant_7,question_12,0.021415290000000028,Timer-No-Correct
participant_7,question_13,0.06873376000000007,Timer-No-Correct
participant_7,question_14,0.03847473000000002,Timer-Correct
participant_7,question_15,0.024563170000000013,No-Timer
participant_7,question_2,0.021964079999999997,No-Timer
participant_7,question_3,0.03848342,Timer-No-Correct
participant_7,question_4,0.023390180000000014,Timer-Correct
participant_7,question_5,0.042026760000000024,No-Timer
participant_7,question_6,0.02637134000000003,Timer-No-Correct
participant_7,question_7,0.006731509999999957,Timer-No-Correct
participant_7,question_8,0.023022620000000018,No-Timer
participant_7,question_9,0.05427719000000002,Timer-Correct
participant_8,question_1,0.009432369999999992,Timer-No-Correct
participant_8,question_10,0.03624585000000002,Timer-No-Correct
participant_8,question_11,0.030880120000000035,Timer-Correct
participant_8,question_12,0.01269360000000006,Timer-Correct
