BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI
0.0,0,8,1,0.43751,-0.01181,0,0.90312,0.83519,0.12054,2722,757.8551,1,0.43729,0.01299,-0.0645,-0.06268,0.66118,0.24493,0.79928,22.20498,1,0.45549,-0.02549,1.1317,0.00492,1,1,-5e-05,-0.06693,0.65614,0.49953,0.82214,21.12253,1,0.41953,0.00187,1.1317,0.00439,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.43653,0.02063,3,0.90312,0.83519,0.1272,2722,757.8551,1,0.43725,0.01338,-0.0645,-0.06268,0.66118,0.24486,0.79924,22.25025,1,0.44479,0.03793,1.1317,0.00498,1,1,-5e-05,-0.06693,0.65614,0.49949,0.82185,20.41283,1,0.42827,0.00334,1.1317,0.00443,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44931,-0.02479,0,0.90312,0.83519,0.18079,2722,757.8551,1,0.44103,0.0102,-0.06222,-0.06037,0.63736,0.24464,0.7992,22.88666,1,0.45915,-0.00449,1.12525,0.00499,1,1,-0.0001,-0.06947,0.68111,0.49934,0.8217,20.9713,1,0.43946,-0.04508,1.13424,0.0045,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44942,-0.00958,0,0.90312,0.83519,0.18671,2722,757.8551,1,0.44132,0.00952,-0.06222,-0.06037,0.63736,0.24457,0.79918,22.83266,1,0.45624,0.05064,1.12652,0.00497,1,1,-0.0001,-0.06947,0.68111,0.4994,0.82166,20.99788,1,0.44261,-0.0698,1.13551,0.00445,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44939,-0.01084,0,0.90312,0.83519,0.19342,2722,757.8551,1,0.44159,0.00884,-0.06222,-0.06037,0.63736,0.24447,0.79935,22.92216,1,0.45613,0.04946,1.12779,0.00503,1,1,-0.0001,-0.06947,0.68111,0.49933,0.82166,20.91275,1,0.44264,-0.07115,1.13678,0.00452,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.43977,0.02595,0,0.90312,0.83519,0.20032,2722,757.8551,1,0.44153,0.0094,-0.06222,-0.06037,0.63736,0.24456,0.79897,22.73077,1,0.45167,0.02507,1.13678,0.00497,1,1,-0.0001,-0.06947,0.68111,0.49934,0.8217,21.08791,1,0.42786,0.02683,1.13678,0.00452,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.44279,0.03003,0,0.90312,0.83519,0.20709,2722,757.8551,1,0.44157,0.01004,-0.06222,-0.06037,0.63736,0.24454,0.79898,22.73908,1,0.45134,0.02514,1.13678,0.00498,1,1,-0.0001,-0.06947,0.68111,0.49945,0.82165,21.01709,1,0.43424,0.03492,1.13678,0.00447,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.4422,0.01441,0,0.90312,0.83519,0.216,2722,757.8551,1,0.44159,0.01017,-0.06699,-0.06489,0.68509,0.24441,0.79918,23.02594,1,0.44985,0.00973,1.15318,0.00501,1,1,-0.0001,-0.06927,0.68114,0.49949,0.82161,21.172,1,0.43456,0.01908,1.15318,0.00442,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.43993,-0.00767,0,0.90312,0.83519,0.22058,2722,757.8551,1,0.44154,0.00965,-0.06699,-0.06489,0.68509,0.24434,0.79908,22.93052,1,0.44836,-0.00568,1.16957,0.00506,1,1,-0.0001,-0.06927,0.68114,0.49928,0.82141,21.34947,1,0.4315,-0.00967,1.16957,0.00442,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.43956,-0.03424,0,0.90312,0.83519,0.22736,2722,757.8551,1,0.44148,0.00839,-0.06699,-0.06489,0.68509,0.24439,0.79899,22.66646,1,0.44602,-0.02809,1.18597,0.00505,1,1,-0.0001,-0.06927,0.68114,0.49929,0.82138,21.46133,1,0.43309,-0.04039,1.18597,0.00442,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.43897,-0.05012,0,0.90312,0.83519,0.23364,2722,757.8551,1,0.44141,0.00677,-0.06699,-0.06489,0.68509,0.24436,0.799,22.73283,1,0.44453,-0.0436,1.20237,0.00507,1,1,-0.0001,-0.06927,0.68114,0.49942,0.82127,21.20046,1,0.4334,-0.05664,1.20237,0.00441,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44389,-0.06522,0,0.90312,0.83519,0.24072,2722,757.8551,1,0.44148,0.00482,-0.06699,-0.06489,0.68509,0.24431,0.7989,22.49172,1,0.44365,-0.0655,1.20237,0.00509,1,1,-0.0001,-0.06927,0.68114,0.4994,0.8214,21.58747,1,0.44413,-0.06494,1.20237,0.00442,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44235,-0.04453,0,0.90312,0.83519,0.24725,2722,757.8551,1,0.4415,0.00352,-0.06699,-0.06489,0.68509,0.24433,0.79889,22.44522,1,0.44582,-0.04777,1.20237,0.00508,1,1,-0.0001,-0.06927,0.68114,0.49949,0.82142,21.61379,1,0.43889,-0.04129,1.20237,0.00444,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44254,-0.03178,0,0.90312,0.83519,0.25366,2722,757.8551,1,0.44153,0.00262,-0.06346,-0.06153,0.64958,0.24432,0.79886,22.69042,1,0.44659,-0.03953,1.19369,0.00507,1,1,-5e-05,-0.06673,0.65616,0.49944,0.82114,21.04827,1,0.43849,-0.02403,1.1847,0.00444,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44719,-0.03204,0,0.90312,0.83519,0.26068,2722,757.8551,1,0.44167,0.00175,-0.06346,-0.06153,0.64958,0.24443,0.79877,22.81394,1,0.44513,-0.04532,1.17602,0.00509,1,1,-5e-05,-0.06673,0.65616,0.49951,0.82122,21.2123,1,0.44925,-0.01876,1.16703,0.00445,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45487,-0.01053,0,0.90312,0.83519,0.26715,2722,757.8551,1,0.44199,0.00145,-0.06346,-0.06153,0.64958,0.24437,0.79875,22.76987,1,0.45466,-0.02465,1.15835,0.0051,1,1,-5e-05,-0.06673,0.65616,0.49957,0.82114,21.01328,1,0.45508,0.00359,1.14936,0.00444,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45553,0.01416,0,0.90312,0.83519,0.27405,2722,757.8551,1,0.44231,0.00176,-0.06225,-0.06036,0.63771,0.2444,0.79873,22.80417,1,0.45686,-0.00014,1.13297,0.00508,1,1,-5e-05,-0.06673,0.65616,0.49958,0.82127,21.27278,1,0.4542,0.02845,1.12398,0.00443,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45824,0.0202,0,0.90312,0.83519,0.28101,2722,757.8551,1,0.44268,0.00218,-0.06225,-0.06036,0.63771,0.24441,0.79873,22.73301,1,0.4568,0.01771,1.11626,0.00509,1,1,-5e-05,-0.06673,0.65616,0.49958,0.82123,21.32306,1,0.45969,0.02269,1.11626,0.00443,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44531,0.02814,0,0.90312,0.83519,0.28772,2722,757.8551,1,0.44274,0.00277,-0.06225,-0.06036,0.63771,0.24447,0.79869,22.6533,1,0.45923,0.01024,1.10855,0.00511,1,1,-5e-05,-0.06673,0.65616,0.49961,0.82123,21.30925,1,0.43139,0.04603,1.10855,0.0044,1,1,participant_10,question_14,Timer-No-Correct,True,Question
