BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,10,1,0.36072,0.58610,0,0.49792,0.62685,0.56959,54,25.33086,1,0.35348,0.56031,-0.01734,0.07753,0.64249,0.42798,0.10215,18.87256,1,0.42226,0.66119,1.12005,0.00404,1,1,0.04473,0.06896,0.63196,0.68413,0.13928,21.01251,1,0.29917,0.51100,1.12005,0.00419,1,1
0.00000,0,10,1,0.33777,0.58143,0,0.49792,0.62685,0.57607,54,25.33086,1,0.35294,0.56056,-0.01734,0.07753,0.64249,0.42799,0.10205,18.86345,1,0.39197,0.62612,1.11192,0.00402,1,1,0.04473,0.06896,0.63196,0.68420,0.13930,21.12551,1,0.28358,0.53674,1.11192,0.00417,1,1
0.00000,0,10,1,0.34356,0.57413,0,0.49792,0.62685,0.58277,54,25.33086,1,0.35271,0.56081,-0.01734,0.07753,0.64249,0.42826,0.10190,19.23785,1,0.40082,0.61625,1.10380,0.00378,1,1,0.04473,0.06896,0.63196,0.68430,0.13930,21.19057,1,0.28629,0.53200,1.10380,0.00419,1,1
0.00000,0,10,1,0.34347,0.57221,0,0.49792,0.62685,0.58974,54,25.33086,1,0.35248,0.56107,-0.01767,0.07924,0.65660,0.42827,0.10213,19.05138,1,0.40082,0.61625,1.10380,0.00401,1,1,0.04644,0.07156,0.65534,0.68435,0.13935,21.15015,1,0.28611,0.52816,1.11179,0.00418,1,1
0.00000,0,10,1,0.34944,0.56749,0,0.49792,0.62685,0.59617,54,25.33086,1,0.35228,0.56130,-0.01767,0.07924,0.65660,0.42830,0.10215,19.06386,1,0.40281,0.61811,1.11991,0.00401,1,1,0.04644,0.07156,0.65534,0.68433,0.13930,21.16996,1,0.29608,0.51687,1.12790,0.00420,1,1
0.00000,0,10,1,0.33701,0.55859,0,0.49792,0.62685,0.60979,54,25.33086,1,0.35167,0.56222,-0.01767,0.07924,0.65660,0.42829,0.10220,18.87986,1,0.37375,0.59518,1.15214,0.00408,1,1,0.04689,0.07212,0.66040,0.68437,0.13938,21.25448,1,0.30027,0.52200,1.16012,0.00418,1,1
0.00000,0,10,1,0.33845,0.56606,0,0.49792,0.62685,0.60287,54,25.33086,1,0.35198,0.56176,-0.01767,0.07924,0.65660,0.42831,0.10221,19.02904,1,0.37650,0.60264,1.13602,0.00405,1,1,0.04644,0.07156,0.65534,0.68432,0.13934,21.26466,1,0.30041,0.52948,1.14401,0.00417,1,1
0.00000,0,10,1,0.34586,0.54548,0,0.49792,0.62685,0.61626,54,25.33086,1,0.35178,0.56281,-0.01767,0.07924,0.65660,0.42835,0.10216,18.61050,1,0.38257,0.57277,1.16012,0.00409,1,1,0.04689,0.07212,0.66040,0.68451,0.13932,20.92144,1,0.30915,0.51819,1.16012,0.00418,1,1
0.00000,0,10,1,0.34902,0.55789,0,0.49792,0.62685,0.62296,54,25.33086,1,0.35200,0.56352,-0.01767,0.07924,0.65660,0.42828,0.10205,18.28613,1,0.38529,0.58962,1.16012,0.00413,1,1,0.04689,0.07212,0.66040,0.68450,0.13939,20.97267,1,0.31275,0.52616,1.16012,0.00417,1,1
0.00000,0,10,1,0.34902,0.55789,0,0.49792,0.62685,0.62989,54,25.33086,1,0.35221,0.56415,-0.01767,0.07924,0.65660,0.42845,0.10212,18.79408,1,0.38529,0.58962,1.16012,0.00400,1,1,0.04619,0.07099,0.65054,0.68461,0.13947,21.19086,1,0.31275,0.52616,1.16012,0.00420,1,1
0.00000,0,10,1,0.36408,0.56418,0,0.49792,0.62685,0.63636,54,25.33086,1,0.35247,0.56436,-0.01767,0.07924,0.65660,0.42858,0.10213,19.12557,1,0.40819,0.64838,1.16012,0.00397,1,1,0.04619,0.07099,0.65054,0.68465,0.13938,21.20198,1,0.31996,0.47998,1.16012,0.00416,1,1
0.00000,0,10,1,0.36143,0.53774,0,0.49792,0.62685,0.64327,54,25.33086,1,0.35278,0.56438,-0.01767,0.07924,0.65660,0.42860,0.10201,18.98179,1,0.40175,0.59395,1.16012,0.00395,1,1,0.04619,0.07099,0.65054,0.68468,0.13943,21.13433,1,0.32111,0.48152,1.16012,0.00420,1,1
0.00000,0,10,1,0.36194,0.54361,0,0.49792,0.62685,0.64977,54,25.33086,1,0.35308,0.56443,-0.01684,0.07612,0.63076,0.42869,0.10208,18.52712,1,0.40290,0.59769,1.15200,0.00395,1,1,0.04600,0.07061,0.64708,0.68481,0.13949,21.05853,1,0.32098,0.48954,1.14401,0.00414,1,1
0.00000,0,10,1,0.33781,0.55542,0,0.49792,0.62685,0.65668,54,25.33086,1,0.35284,0.56425,-0.01684,0.07612,0.63076,0.42881,0.10218,18.67400,1,0.39772,0.63177,1.13589,0.00403,1,1,0.04600,0.07061,0.64708,0.68485,0.13951,20.99000,1,0.27789,0.47907,1.12790,0.00415,1,1
0.00000,0,10,1,0.32822,0.56769,0,0.49792,0.62685,0.66337,54,25.33086,1,0.35213,0.56368,-0.01684,0.07612,0.63076,0.42895,0.10199,19.13479,1,0.37428,0.63658,1.11977,0.00391,1,1,0.04600,0.07061,0.64708,0.68494,0.13952,20.90582,1,0.28216,0.49880,1.11178,0.00416,1,1
0.00000,0,10,1,0.32892,0.56945,0,0.49792,0.62685,0.67012,54,25.33086,1,0.35144,0.56314,-0.01750,0.07941,0.65764,0.42906,0.10221,18.97072,1,0.37568,0.64009,1.11178,0.00406,1,1,0.04671,0.07158,0.65641,0.68499,0.13955,20.88138,1,0.28216,0.49880,1.11178,0.00418,1,1
0.00000,0,10,1,0.34539,0.57154,0,0.49792,0.62685,0.67655,54,25.33086,1,0.35117,0.56371,-0.01750,0.07941,0.65764,0.42953,0.10182,19.00797,1,0.39414,0.64175,1.11991,0.00380,1,1,0.04671,0.07158,0.65641,0.68511,0.13957,21.13413,1,0.29663,0.50133,1.12790,0.00415,1,1
0.00000,0,10,1,0.34947,0.57233,0,0.49792,0.62685,0.68349,54,25.33086,1,0.35112,0.56414,-0.01750,0.07941,0.65764,0.42931,0.10207,18.96249,1,0.39502,0.64764,1.13602,0.00391,1,1,0.04671,0.07158,0.65641,0.68514,0.13955,21.12230,1,0.30392,0.49702,1.14401,0.00414,1,1
0.00000,0,10,1,0.34819,0.56496,0,0.49792,0.62685,0.68995,54,25.33086,1,0.35105,0.56450,-0.01770,0.08026,0.66510,0.42924,0.10217,18.77469,1,0.39257,0.64083,1.15214,0.00401,1,1,0.04723,0.07223,0.66235,0.68524,0.13958,20.95501,1,0.30382,0.48908,1.16012,0.00413,1,1
0.00000,0,10,1,0.35800,0.56011,0,0.49792,0.62685,0.69665,54,25.33086,1,0.35120,0.56454,-0.01770,0.08026,0.66510,0.42939,0.10197,18.90698,1,0.40102,0.63253,1.16012,0.00399,1,1,0.04723,0.07223,0.66235,0.68535,0.13963,20.84030,1,0.31499,0.48768,1.16012,0.00420,1,1
0.00000,0,10,1,0.36052,0.56242,0,0.49792,0.62685,0.70356,54,25.33086,1,0.35136,0.56469,-0.01770,0.08026,0.66510,0.42945,0.10192,18.91413,1,0.40835,0.62959,1.16012,0.00399,1,1,0.04723,0.07223,0.66235,0.68542,0.13969,20.95370,1,0.31269,0.49525,1.16012,0.00419,1,1
