question_id,part,Q1_C,median_C,Q3_C,n_correct_valid,IQR_C,UF_C
Q1,Part 1,26.025082500000167,41.969285,58.47730000000015,8,32.45221749999998,107.15562625000013
Q1,Part 2,63.18335749999992,111.70957999999985,159.2259425000001,6,96.04258500000017,303.28982000000036
Q10,Part 1,30.79248000000007,43.92865000000006,67.80768,9,37.015199999999936,123.33047999999991
Q10,Part 2,55.513109999999955,57.61319499999996,65.7369425,4,10.223832500000043,81.07269125000006
Q11,Part 1,41.89224500000006,75.40350000000001,83.74019999999996,7,41.8479549999999,146.5121324999998
Q11,Part 2,29.744734999999764,42.6889599999995,47.602044999999634,3,17.85730999999987,74.38800999999944
Q12,Part 1,36.715329999999994,37.68421000000012,84.54125999999997,5,47.82592999999997,156.28015499999992
Q12,Part 2,26.70369999999994,28.81035999999989,30.917019999999837,2,4.2133199999998965,37.23699999999968
Q13,Part 1,52.164310000000114,68.1834100000001,76.97155999999995,7,24.80724999999984,114.18243499999971
Q13,Part 2,17.643609999999967,45.91075999999998,70.21680000000015,5,52.57319000000018,149.07658500000042
Q14,Part 1,29.832994999999926,49.18688999999972,59.34827750000011,10,29.515282500000183,103.62120125000038
Q14,Part 2,37.81713750000017,55.453250000000025,63.37866250000016,10,25.56152499999999,101.72095000000014
Q15,Part 1,24.821319999999957,37.83579000000009,68.08280750000029,6,43.26148750000033,132.97503875000078
Q15,Part 2,21.287389999999988,24.944580000000087,37.28497500000026,8,15.99758500000027,61.281352500000665
Q2,Part 1,34.91305499999993,81.92175,89.51769499999999,7,54.60464000000006,171.4246550000001
Q2,Part 2,37.69898000000012,45.783930000000055,71.22362999999996,9,33.52464999999984,121.51060499999971
Q3,Part 1,62.31030249999958,67.05079499999998,73.81469999999968,10,11.504397500000096,91.07129624999982
Q3,Part 2,26.914060000000063,58.02100000000064,62.72362999999996,9,35.809569999999894,116.4379849999998
Q4,Part 1,51.514065000000045,59.663159999999976,73.79361000000017,7,22.279545000000127,107.21292750000036
Q4,Part 2,27.054929999999786,42.608400000000074,46.99502000000001,13,19.940090000000225,76.90515500000035
Q6,Part 1,45.716367500000274,64.12724000000003,83.84309249999998,10,38.12672499999971,141.03317999999956
Q6,Part 2,51.12552500000008,64.55884000000015,73.62915000000021,3,22.503625000000127,107.3845875000004
Q7,Part 1,26.58074750000037,30.655184999999847,40.14530500000002,8,13.564557499999651,60.4921412499995
Q7,Part 2,36.94509500000038,41.6413,56.53509000000054,6,19.589995000000158,85.92008250000077
Q8,Part 1,47.7819800000002,48.43225000000007,62.61670000000049,5,14.834720000000289,84.86878000000092
Q8,Part 2,39.74671000000001,47.52538999999979,57.89440999999988,5,18.147699999999872,85.11595999999969
Q9,Part 1,60.17570750000007,60.768345000000124,61.360982500000176,2,1.1852750000001038,63.13889500000033
Q9,Part 2,14.06641000000036,72.2695,83.70801000000029,5,69.64159999999993,188.17041000000017
