participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label
participant_1,Q1,Part 2,4703.14453,4878.33594,175.19141000000036,True,False,-50.36236749999948,True,False,0,UP
participant_1,Q10,Part 2,5390.91211,5475.94141,85.02930000000015,True,False,21.069950000000233,True,False,0,UP
participant_1,Q11,Part 2,5476.1167,5513.23877,37.12207000000035,True,False,-40.907541250000634,True,False,0,UP
participant_1,Q12,Part 2,5513.23877,5597.67871,84.4399400000002,True,False,-25.296670000000063,True,False,0,UP
participant_1,Q13,Part 1,5597.67871,5639.21631,41.53759999999966,True,False,-36.89351500000005,True,False,1,NP
participant_1,Q14,Part 1,5639.52393,5721.76758,82.24364999999943,True,False,-14.439928750000348,True,False,1,NP
participant_1,Q15,Part 2,5721.76758,5766.6333,44.86572000000069,True,False,-7.538450000000111,True,False,1,NP
participant_1,Q2,Part 2,4878.33594,4927.74365,49.40771000000041,True,False,5.275629999999509,True,False,0,UP
participant_1,Q3,Part 1,4927.74365,5001.74756,74.00390999999945,True,False,22.222594999999387,True,False,1,NP
participant_1,Q4,Part 2,5001.74756,5033.80713,32.05957000000035,True,False,-13.903517500000689,True,False,1,NP
participant_1,Q5,Part 1,5033.80713,5113.28955,79.48242000000027,True,False,-17.558350000001838,True,False,0,NA_no_correct
participant_1,Q6,Part 2,5113.28955,5204.88525,91.59569999999985,True,False,-2.641577499999663,True,False,0,UP
participant_1,Q7,Part 2,5204.88525,5266.57617,61.690920000000006,True,False,-19.128347499999308,True,False,0,UP
participant_1,Q8,Part 2,5266.57617,5306.18408,39.60790999999972,True,False,-13.50669250000017,True,False,1,NP
participant_1,Q9,Part 1,5306.18408,5390.91211,84.72803000000022,True,False,14.444062500000342,True,False,0,UP
participant_10,Q1,Part 1,62.72685,98.08165,35.3548,True,False,-15.267338749999706,True,False,1,NP
participant_10,Q10,Part 2,605.77417,660.25195,54.47777999999994,True,False,21.069950000000233,True,False,1,NP
participant_10,Q11,Part 1,660.25195,697.8443,37.59235000000001,True,False,-23.071896249999938,True,False,1,NP
participant_10,Q12,Part 1,697.8443,740.21149,42.36719000000005,True,False,-33.935123749999576,True,False,0,UP
participant_10,Q13,Part 2,740.21149,757.8551,17.643609999999967,True,False,-59.499320000000125,True,False,1,NP
participant_10,Q14,Part 2,757.8551,787.68304,29.827940000000012,True,False,-15.682910000000703,True,False,0,UP
participant_10,Q15,Part 1,787.68304,828.51624,40.83320000000003,True,False,-50.906236250000276,True,False,1,NP
participant_10,Q2,Part 2,98.08165,121.35199,23.270340000000004,True,False,5.275629999999509,True,False,1,NP
participant_10,Q3,Part 2,121.35199,253.78619,132.4342,True,False,-5.320869999999928,True,False,1,UP
participant_10,Q4,Part 1,253.78619,355.29391,101.50771999999998,True,False,2.085678749999964,True,False,1,NP
participant_10,Q5,Part 2,355.29391,378.87225,23.578340000000026,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_10,Q6,Part 2,379.03314,437.36252,58.329380000000015,True,False,-2.641577499999663,True,False,0,UP
participant_10,Q7,Part 2,437.36252,519.34479,81.98226999999997,True,False,-19.128347499999308,True,False,0,UP
participant_10,Q8,Part 2,519.34479,572.12067,52.77588000000003,True,False,-13.50669250000017,True,False,0,UP
participant_10,Q9,Part 2,572.12067,605.77417,33.65350000000001,True,False,-43.915629999999766,True,False,0,UP
participant_11,Q1,Part 2,1191.84521,1217.82092,25.975709999999935,True,False,-50.36236749999948,True,False,0,UP
participant_11,Q10,Part 1,1505.02209,1529.01685,23.994760000000042,True,False,-24.730319999999836,True,False,1,NP
participant_11,Q11,Part 2,1529.01685,1593.70923,64.69237999999996,True,False,-40.907541250000634,True,False,0,UP
participant_11,Q12,Part 2,1593.70923,1677.17163,83.46240000000012,True,False,-25.296670000000063,True,False,0,UP
participant_11,Q13,Part 2,1677.17163,1719.41174,42.24010999999996,True,False,-59.499320000000125,True,False,0,UP
participant_11,Q14,Part 1,1719.41174,1746.92871,27.5169699999999,True,False,-14.439928750000348,True,False,1,NP
participant_11,Q15,Part 2,1746.92871,1823.23694,76.3082300000001,True,False,-7.538450000000111,True,False,0,UP
participant_11,Q2,Part 2,1217.82092,1275.5282,57.70728000000008,True,False,5.275629999999509,True,False,0,UP
participant_11,Q3,Part 1,1275.5282,1299.32776,23.79955999999993,True,False,22.222594999999387,True,False,0,UP
participant_11,Q4,Part 2,1299.32776,1325.62537,26.297610000000077,True,False,-13.903517500000689,True,False,1,NP
participant_11,Q5,Part 1,1325.62537,1348.97937,23.354000000000042,True,False,-17.558350000001838,True,False,0,NA_no_correct
participant_11,Q6,Part 2,1348.97937,1395.67102,46.69164999999998,True,False,-2.641577499999663,True,False,0,UP
participant_11,Q7,Part 2,1395.67102,1435.31958,39.64856000000009,True,False,-19.128347499999308,True,False,1,NP
participant_11,Q8,Part 2,1435.31958,1465.20715,29.88756999999987,True,False,-13.50669250000017,True,False,0,UP
participant_11,Q9,Part 1,1465.20715,1505.02209,39.81493999999998,True,False,14.444062500000342,True,False,0,UP
participant_12,Q1,Part 1,44.48244,103.46221,58.97977,True,False,-15.267338749999706,True,False,1,NP
participant_12,Q10,Part 2,410.51379,429.39062,18.87683000000004,True,False,21.069950000000233,False,True,0,INVALID
participant_12,Q11,Part 2,429.39062,454.20142,24.810799999999972,True,False,-40.907541250000634,True,False,0,UP
participant_12,Q12,Part 1,454.20142,480.7742,26.572780000000023,True,False,-33.935123749999576,True,False,1,NP
participant_12,Q13,Part 2,480.7742,490.64722,9.873019999999997,True,False,-59.499320000000125,True,False,0,UP
participant_12,Q14,Part 2,490.64722,563.22583,72.57860999999997,True,False,-15.682910000000703,True,False,1,NP
participant_12,Q15,Part 2,563.22583,581.39886,18.17303000000004,True,False,-7.538450000000111,True,False,1,NP
participant_12,Q2,Part 2,103.46221,126.57849,23.116280000000003,True,False,5.275629999999509,True,False,0,UP
