participant_id,question_id,part,min,max,t_ij,valid_data
participant_1,Q1,Part 2,4703.1445,4878.336,175.1914,True
participant_1,Q10,Part 2,5390.912,5475.9414,85.0293,True
participant_1,Q11,Part 2,5476.1167,5513.239,37.12207,True
participant_1,Q12,Part 2,5513.239,5597.6787,84.43994,True
participant_1,Q13,Part 1,5597.6787,5639.2163,41.537598,True
participant_1,Q14,Part 1,5639.524,5721.7676,82.24365,True
participant_1,Q15,Part 2,5721.7676,5766.6333,44.865723,True
participant_1,Q2,Part 2,4878.336,4927.7437,49.407715,True
participant_1,Q3,Part 1,4927.7437,5001.7476,74.00391,True
participant_1,Q4,Part 2,5001.7476,5033.807,32.05957,True
participant_1,Q5,Part 1,5033.807,5113.2896,79.48242,True
participant_1,Q6,Part 2,5113.2896,5204.8853,91.5957,True
participant_1,Q7,Part 2,5204.8853,5266.576,61.690918,True
participant_1,Q8,Part 2,5266.576,5306.184,39.60791,True
participant_1,Q9,Part 1,5306.184,5390.912,84.72803,True
participant_2,Q1,Part 1,64.17496,112.75873,48.58377,True
participant_2,Q13,Part 2,785.8828,876.7337,90.85089,True
participant_2,Q14,Part 1,876.7337,913.5148,36.781067,True
participant_2,Q15,Part 1,913.5148,1000.3402,86.82544,True
participant_2,Q2,Part 2,112.75873,159.55391,46.79518,True
participant_2,Q3,Part 1,159.55391,225.04417,65.490265,True
participant_2,Q4,Part 2,225.04417,259.71548,34.67131,True
participant_2,Q5,Part 2,259.71548,304.99673,45.28125,True
participant_2,Q6,Part 2,320.06772,391.34573,71.278015,True
participant_2,Q7,Part 2,391.34573,481.5739,90.22818,True
participant_2,Q8,Part 2,481.5739,537.62616,56.052246,True
participant_2,Q9,Part 2,537.62616,625.89764,88.271484,True
participant_3,Q1,Part 2,1388.4454,1426.3125,37.867065,True
participant_3,Q10,Part 1,1909.5028,1936.3495,26.84668,True
participant_3,Q11,Part 1,1936.3495,1977.1637,40.81421,True
participant_3,Q12,Part 2,1977.1637,2016.5371,39.373413,True
participant_3,Q13,Part 2,2016.5371,2067.6794,51.142334,True
participant_3,Q14,Part 2,2067.6794,2125.9155,58.236084,True
participant_3,Q15,Part 1,2125.9155,2198.0508,72.135254,True
participant_3,Q2,Part 2,1426.3125,1464.3424,38.029907,True
participant_3,Q3,Part 1,1464.3424,1499.4052,35.062744,True
participant_3,Q4,Part 2,1499.4052,1559.102,59.6969,True
participant_3,Q5,Part 2,1559.102,1678.3671,119.265015,True
participant_3,Q6,Part 1,1678.3671,1753.1215,74.754395,True
participant_3,Q7,Part 2,1753.1215,1827.2258,74.10437,True
participant_3,Q8,Part 2,1827.2258,1885.1202,57.89441,True
participant_3,Q9,Part 2,1885.1202,1909.5028,24.382568,True
participant_4,Q1,Part 1,2732.2026,2759.325,27.122314,True
participant_4,Q10,Part 1,3094.7283,3178.5857,83.85742,True
participant_4,Q11,Part 1,3178.5857,3209.64,31.0542,True
participant_4,Q12,Part 2,3209.64,3224.3425,14.702637,True
participant_4,Q13,Part 2,3224.3425,3236.3997,12.057129,True
participant_4,Q14,Part 2,3236.3997,3298.6885,62.28882,True
participant_4,Q2,Part 2,2759.325,2792.2544,32.929443,True
participant_4,Q3,Part 2,2792.2544,2818.2979,26.043457,True
participant_4,Q4,Part 2,2818.2979,2842.1843,23.886475,True
participant_4,Q5,Part 2,2842.1843,2892.075,49.890625,True
participant_4,Q6,Part 1,2892.075,2919.2222,27.147217,True
participant_4,Q7,Part 2,2919.2222,3006.168,86.9458,True
participant_4,Q8,Part 2,3006.168,3042.0588,35.89087,True
participant_4,Q9,Part 2,3042.0588,3094.7283,52.669434,True
participant_5,Q1,Part 2,4715.143,4788.2827,73.13965,True
participant_5,Q10,Part 2,5274.066,5296.3853,22.319336,True
participant_5,Q11,Part 2,5296.3853,5315.476,19.09082,True
participant_5,Q12,Part 2,5315.476,5387.2095,71.7334,True
participant_5,Q13,Part 1,5387.2095,5450.0005,62.791016,True
participant_5,Q14,Part 1,5450.0005,5491.4976,41.49707,True
participant_5,Q15,Part 2,5491.4976,5516.489,24.99121,True
participant_5,Q2,Part 2,4788.2827,4868.9653,80.68262,True
participant_5,Q3,Part 1,4868.9653,5019.372,150.40674,True
participant_5,Q4,Part 2,5019.372,5064.642,45.27002,True
participant_5,Q5,Part 1,5064.642,5075.5786,10.936523,True
participant_5,Q6,Part 2,5075.5786,5122.916,47.337402,True
participant_5,Q7,Part 2,5122.916,5183.7515,60.83545,True
participant_5,Q8,Part 2,5183.7515,5212.1123,28.36084,True
participant_5,Q9,Part 1,5212.1123,5274.066,61.953613,True
