BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,16,1,0.29422,-0.05349,0,0.86667,0.87407,0.28174,15115,4568.89160,1,0.30603,-0.01894,-0.02452,-0.00926,0.62053,0.39445,0.53723,25.78505,1,0.28565,-0.05524,1.01048,0.00544,1,1,0.03698,-0.01132,0.62357,0.65411,0.54713,25.04567,1,0.30278,-0.05173,1.01677,0.00546,1,1
0.00000,0,16,1,0.29298,-0.04301,3,0.86667,0.87407,0.28857,15115,4568.89160,1,0.30573,-0.01949,-0.02452,-0.00926,0.62053,0.39439,0.53712,25.57427,1,0.28587,-0.02042,1.01677,0.00550,1,1,0.03698,-0.01132,0.62357,0.65406,0.54702,25.18833,1,0.30008,-0.06559,1.01677,0.00545,1,1
0.00000,0,16,1,0.17621,-0.04514,0,0.86667,0.87407,0.36230,15115,4568.89160,0,0.17336,-0.05379,-0.02445,-0.00909,0.60607,0.39026,0.53724,25.46226,1,0.17835,-0.05043,0.99758,0.00552,1,1,0.03743,-0.01166,0.64250,0.64958,0.54693,25.71092,1,0.17407,-0.03986,0.99758,0.00537,1,1
0.00000,0,16,1,0.18148,-0.03041,0,0.86667,0.87407,0.36230,15115,4568.89160,0,0.17607,-0.04599,-0.02404,-0.00897,0.59479,0.39011,0.53727,25.35792,1,0.18466,-0.03602,0.98539,0.00547,1,1,0.03743,-0.01166,0.64250,0.64958,0.54694,25.69521,1,0.17830,-0.02479,0.98539,0.00536,1,1
0.00000,0,16,1,0.19287,-0.01917,0,0.86667,0.87407,0.02246,15116,4569.28076,1,0.18027,-0.03929,-0.02404,-0.00897,0.59479,0.39005,0.53729,25.41693,1,0.18352,-0.02525,0.97961,0.00543,1,1,0.03743,-0.01166,0.64250,0.64953,0.54695,25.70833,1,0.20221,-0.01309,0.97961,0.00538,1,1
0.00000,0,16,1,0.19386,-0.01213,0,0.86667,0.87407,0.02637,15116,4569.28076,1,0.18299,-0.03386,-0.02404,-0.00897,0.59479,0.39005,0.53729,25.41693,1,0.18447,-0.01782,0.97382,0.00543,1,1,0.03743,-0.01166,0.64250,0.64950,0.54697,25.68967,1,0.20326,-0.00644,0.97382,0.00537,1,1
0.00000,0,16,1,0.19488,-0.00827,0,0.86667,0.87407,0.03320,15116,4569.28076,1,0.18497,-0.02959,-0.02453,-0.00913,0.60590,0.39005,0.53729,25.41693,1,0.18447,-0.01782,0.97382,0.00543,1,1,0.03554,-0.01109,0.61094,0.64951,0.54696,25.68820,1,0.20529,0.00127,0.96753,0.00537,1,1
0.00000,0,16,1,0.19325,-0.00622,0,0.86667,0.87407,0.04004,15116,4569.28076,1,0.18615,-0.02625,-0.02453,-0.00913,0.60590,0.38998,0.53728,25.33168,1,0.18156,-0.01083,0.97332,0.00545,1,1,0.03554,-0.01109,0.61094,0.64947,0.54670,25.17403,1,0.20493,-0.00160,0.96703,0.00541,1,1
0.00000,0,16,1,0.19374,-0.00676,0,0.86667,0.87407,0.04736,15116,4569.28076,1,0.18710,-0.02382,-0.02453,-0.00913,0.60590,0.39001,0.53725,25.27659,1,0.18240,-0.01719,0.97282,0.00544,1,1,0.03554,-0.01109,0.61094,0.64944,0.54674,25.38951,1,0.20507,0.00367,0.96653,0.00540,1,1
0.00000,0,16,1,0.19395,-0.00616,0,0.86667,0.87407,0.05322,15116,4569.28076,1,0.18786,-0.02186,-0.02475,-0.00917,0.61122,0.38998,0.53729,25.32303,1,0.18266,-0.01660,0.97232,0.00545,1,1,0.03519,-0.01093,0.60488,0.64941,0.54664,25.12281,1,0.20523,0.00429,0.96603,0.00541,1,1
0.00000,0,16,1,0.19163,-0.01020,0,0.86667,0.87407,0.06006,15116,4569.28076,1,0.18824,-0.02069,-0.02475,-0.00917,0.61122,0.38995,0.53730,25.31785,1,0.18124,-0.00990,0.96603,0.00547,1,1,0.03519,-0.01093,0.60488,0.64942,0.54665,25.37093,1,0.20202,-0.01050,0.96603,0.00539,1,1
0.00000,0,16,1,0.19162,-0.01005,0,0.86667,0.87407,0.06689,15116,4569.28076,1,0.18854,-0.01972,-0.02475,-0.00917,0.61122,0.39000,0.53723,25.34317,1,0.18119,-0.01317,0.96603,0.00544,1,1,0.03519,-0.01093,0.60488,0.64940,0.54664,25.32862,1,0.20204,-0.00694,0.96603,0.00536,1,1
0.00000,0,16,1,0.19162,-0.01005,0,0.86667,0.87407,0.07373,15116,4569.28076,1,0.18880,-0.01892,-0.02475,-0.00917,0.61122,0.38999,0.53718,25.20355,1,0.18119,-0.01317,0.96603,0.00546,1,1,0.03519,-0.01089,0.60488,0.64941,0.54665,25.31372,1,0.20204,-0.00694,0.96603,0.00535,1,1
0.00000,0,16,1,0.19363,-0.02382,0,0.86667,0.87407,0.08008,15116,4569.28076,1,0.18917,-0.01929,-0.02475,-0.00917,0.61122,0.38998,0.53724,25.33008,1,0.18152,-0.02063,0.96603,0.00545,1,1,0.03519,-0.01089,0.60488,0.64947,0.54659,25.45582,1,0.20574,-0.02700,0.96603,0.00538,1,1
0.00000,0,16,1,0.19543,-0.02535,0,0.86667,0.87407,0.08643,15116,4569.28076,1,0.18962,-0.01973,-0.02475,-0.00917,0.61122,0.39000,0.53723,25.33794,1,0.18191,-0.01939,0.96603,0.00543,1,1,0.03519,-0.01089,0.60488,0.64952,0.54659,25.40255,1,0.20895,-0.03131,0.96603,0.00541,1,1
0.00000,0,16,1,0.19443,-0.02932,0,0.86667,0.87407,0.09326,15116,4569.28076,1,0.18994,-0.02037,-0.02475,-0.00917,0.61122,0.39002,0.53719,25.35692,1,0.18191,-0.01939,0.96603,0.00545,1,1,0.03743,-0.01156,0.64250,0.64952,0.54658,25.56978,1,0.20694,-0.03924,0.97232,0.00539,1,1
0.00000,0,16,1,0.18277,-0.04648,0,0.86667,0.87407,0.10010,15116,4569.28076,1,0.18949,-0.02200,-0.02475,-0.00917,0.61122,0.39010,0.53715,25.37773,1,0.18270,-0.03930,0.97232,0.00549,1,1,0.03743,-0.01156,0.64250,0.64961,0.54655,25.54177,1,0.18285,-0.05366,0.97861,0.00537,1,1
