participant_id,question_id,invalid_gaze_count,total_gaze_count,invalid_gaze_ratio
participant_1,Q1,1037,25874,0.0401
participant_1,Q10,271,12610,0.0215
participant_1,Q11,1,5519,0.0002
participant_1,Q12,349,12540,0.0278
participant_1,Q13,38,6167,0.0062
participant_1,Q14,517,12222,0.0423
participant_1,Q15,229,6620,0.0346
participant_1,Q2,330,7269,0.0454
participant_1,Q3,726,10952,0.0663
participant_1,Q4,25,4751,0.0053
participant_1,Q5,1083,11803,0.0918
participant_1,Q6,734,12801,0.0573
participant_1,Q7,155,9151,0.0169
participant_1,Q8,270,5883,0.0459
participant_1,Q9,712,12532,0.0568
participant_10,Q1,86,5059,0.0170
participant_10,Q10,261,8054,0.0324
participant_10,Q11,114,5579,0.0204
participant_10,Q12,85,6250,0.0136
participant_10,Q13,138,2579,0.0535
participant_10,Q14,197,4414,0.0446
participant_10,Q15,263,6058,0.0434
participant_10,Q2,0,3413,0.0000
participant_10,Q3,621,19718,0.0315
participant_10,Q4,295,15019,0.0196
participant_10,Q5,80,3470,0.0231
participant_10,Q6,188,7359,0.0255
participant_10,Q7,372,12180,0.0305
participant_10,Q8,154,7798,0.0197
participant_10,Q9,131,4964,0.0264
participant_11,Q1,73,3759,0.0194
participant_11,Q10,149,3616,0.0412
participant_11,Q11,299,9566,0.0313
participant_11,Q12,1079,12364,0.0873
participant_11,Q13,339,6278,0.0540
participant_11,Q14,391,4056,0.0964
participant_11,Q15,801,11303,0.0709
participant_11,Q2,221,8621,0.0256
participant_11,Q3,217,3472,0.0625
participant_11,Q4,293,3889,0.0753
participant_11,Q5,158,3475,0.0455
participant_11,Q6,300,5963,0.0503
participant_11,Q7,317,5844,0.0542
participant_11,Q8,180,4417,0.0408
participant_11,Q9,342,5889,0.0581
participant_12,Q1,420,8682,0.0484
participant_12,Q10,152,2793,0.0544
participant_12,Q11,280,3667,0.0764
participant_12,Q12,209,3934,0.0531
participant_12,Q13,20,1454,0.0138
participant_12,Q14,866,10781,0.0803
participant_12,Q15,82,2685,0.0305
participant_12,Q2,95,3386,0.0281
participant_12,Q3,544,6243,0.0871
participant_12,Q4,748,6568,0.1139
participant_12,Q5,0,2541,0.0000
participant_12,Q6,529,11771,0.0449
participant_12,Q7,0,1808,0.0000
participant_12,Q8,384,10128,0.0379
participant_12,Q9,19,1870,0.0102
participant_13,Q1,693,18029,0.0384
participant_13,Q10,152,7594,0.0200
participant_13,Q11,667,12901,0.0517
