participant_id,total_rows,removed_rows,valid_ratio
participant_1,156694,6477,0.9587
participant_10,111914,2985,0.9733
participant_11,92512,5159,0.9442
participant_12,78311,4348,0.9445
participant_13,181036,14390,0.9205
participant_14,99038,504,0.9949
participant_15,117796,5507,0.9532
participant_16,126305,17909,0.8582
participant_17,128704,3498,0.9728
participant_18,141304,8831,0.9375
participant_19,182426,101929,0.4413
participant_2,137798,18647,0.8647
participant_20,161652,2414,0.9851
participant_21,124508,847,0.9932
participant_22,118236,8151,0.9311
participant_23,186286,10478,0.9438
participant_24,83998,3567,0.9575
participant_25,111286,3064,0.9725
participant_26,66069,4230,0.9360
participant_27,86758,3081,0.9645
participant_28,139929,3728,0.9734
participant_29,47267,1136,0.9760
participant_3,118805,3612,0.9696
participant_30,95533,24017,0.7486
participant_4,93804,13432,0.8568
participant_5,117728,11265,0.9043
participant_6,125403,7975,0.9364
participant_7,114499,7347,0.9358
participant_8,123671,3345,0.9730
participant_9,94875,8680,0.9085
